City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Makakilo City,US,75.52,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
370,Teguise,ES,75.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
371,Luau,AO,81.21,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
372,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
380,Hamilton,US,79.75,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
381,Tonekabon,IR,76.95,clear sky,36.8163,50.8738,Hotel Sadra
382,Takoradi,GH,81.01,overcast clouds,4.8845,-1.7554,Raybow International Hotel
383,Watertown,US,80.19,scattered clouds,42.3709,-71.1828,16 Washburn Street Watertown MA
386,Urumqi,CN,86.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
387,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
391,Wilmington,US,87.71,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
395,Astana,KZ,76.95,few clouds,51.1801,71.446,King Hotel Astana
398,Shar,KZ,75.16,overcast clouds,49.5886,81.0453,
399,Portel,BR,83.61,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
402,Benguela,AO,80.1,few clouds,-12.5763,13.4055,Hotel Praia Morena
405,Nalut,LY,89.76,clear sky,30.3333,10.85,
406,Kavieng,PG,81.37,light rain,-2.5744,150.7967,Nusa Island Retreat
409,Riverton,US,82.44,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
410,Coldwater,US,75.27,broken clouds,41.9403,-85.0005,Coldwater Inn & Suites
411,Harper,LR,81.63,broken clouds,4.375,-7.7169,Screensaver
412,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
413,Namatanai,PG,78.78,light rain,-3.6667,152.4333,Seagulls Inn Namatani
414,Troy,US,76.82,clear sky,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
415,Kieta,PG,78.75,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
416,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
418,Santiago De Cuba,CU,87.91,few clouds,20.0247,-75.8219,Cubanacan San Felix
419,Maria Aurora,PH,77.18,overcast clouds,15.7967,121.4737,Attic Travellers Inn
426,Luena,AO,76.46,few clouds,-11.7833,19.9167,Hotel Kandamba
429,Wajir,KE,87.76,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
431,New Albany,US,81.18,broken clouds,38.2856,-85.8241,Hampton Inn New Albany Louisville West
437,Tutoia,BR,84.83,scattered clouds,-2.7619,-42.2744,Pousada Guará's
439,Itoman,JP,79.18,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
440,Sao Mateus Do Maranhao,BR,85.14,overcast clouds,-4.0417,-44.475,Pousada Pingo De Ouro
441,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
442,Galle,LK,80.06,overcast clouds,6.0367,80.217,Amangalla
449,Marovoay,MG,81.84,scattered clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
450,Xuddur,SO,81.23,overcast clouds,4.1213,43.8894,Banjanay Hotel
454,Altamira,BR,80.11,broken clouds,-3.2033,-52.2064,Requinte Hotel
455,Tual,ID,82.78,light rain,-5.6667,132.75,Grand Vilia Hotel
460,Kranj,SI,86.11,few clouds,46.2389,14.3556,Hotel Creina
463,Anzio,IT,87.87,clear sky,41.4853,12.6179,Hotel Lido Garda
465,Turan,VN,80.58,few clouds,16.0678,108.2208,Grand Mercure Danang
469,Pata,PH,78.44,overcast clouds,17.7152,121.5018,Israel Bakeshop
476,Vodnany,CZ,82.76,clear sky,49.1479,14.1751,Hotel Prajer
479,Ribnica,SI,84.29,scattered clouds,45.7386,14.7275,Škrabec homestead
484,Phanom Thuan,TH,76.78,overcast clouds,14.1303,99.6986,ตึกส้มและสวนกล้วย
485,Uyovu,TZ,76.21,broken clouds,-3.2833,31.5258,
486,Tagusao,PH,81.03,broken clouds,9.1924,117.8141,Green Villa beach resort
488,Sulangan,PH,84.56,scattered clouds,11.1373,123.7228,Maia's Beach Resort
489,Requena,ES,83.79,scattered clouds,39.4883,-1.1004,Hotel Avenida
493,Tuburan,PH,78.89,scattered clouds,6.6439,122.2736,GT Site
495,Dwarka,IN,85.96,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
496,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
500,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
502,Boa Vista,BR,76.98,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
503,Southbridge,US,77.92,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
505,Jaque,PA,81.91,broken clouds,7.5175,-78.1703,Aventuras Jaque S.A
510,Rolla,US,85.05,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
511,Avera,US,88.56,overcast clouds,33.194,-82.5271,
513,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
515,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
517,Lixourion,GR,82.4,few clouds,38.2019,20.4314,Hotel Summery
518,Ndende,GA,86.02,broken clouds,-2.4008,11.3581,
519,San Remigio,PH,82.15,scattered clouds,11.0809,123.9381,San Remigio Cultural Center and Leisure
520,Faya,SA,80.71,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
525,Marseille,FR,88.66,clear sky,43.3333,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
526,Palermo,IT,79.92,clear sky,37.8167,13.5833,"Ponte Montagnola, Vicari"
529,Abaetetuba,BR,88.12,few clouds,-1.7181,-48.8825,Hotel Joanayna
536,Florida,US,86.9,broken clouds,28.7505,-82.5001,Sportsmens Cove
539,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
542,Progreso,MX,87.12,clear sky,21.2833,-89.6667,Playa Linda Hotel
543,Ihiala,NG,84.16,light rain,5.8538,6.8603,Tony King Suites Limited
544,Bereslavka,RU,81.37,broken clouds,48.6254,44.0449,
551,George,ZA,78.35,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
556,Santo Antonio Do Ica,BR,76.03,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
557,Ca Mau,VN,79.72,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
559,Jiaozuo,CN,75.9,scattered clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
562,Bukama,CD,79.9,clear sky,-9.2,25.85,
564,San Policarpo,PH,82.15,scattered clouds,12.1791,125.5072,Agapita M. Nicart
566,Muskogee,US,89.96,clear sky,35.5834,-95.3336,
573,Sarangani,PH,83.7,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
574,Pundaguitan,PH,82.62,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
576,Lypnyazhka,UA,76.12,few clouds,48.4469,31.0761,
583,Tortoli,IT,78.62,clear sky,39.9256,9.6572,Hotel La Bitta
587,Misasi,TZ,78.49,scattered clouds,-3.0,33.0833,
588,Labuhan,ID,78.96,overcast clouds,-6.8844,112.2051,DoubleFAG
594,Russell,US,87.39,clear sky,32.3502,-85.1999,Macs
595,Savalou,BJ,85.17,broken clouds,7.9281,1.9756,Hotel F&F
596,Odweyne,SO,80.71,broken clouds,9.4092,45.064,Eng Hiirey House
598,Lang Suan,TH,78.91,overcast clouds,9.9456,99.0785,Langsuan Resort
601,Srisailam,IN,85.68,overcast clouds,16.0833,78.8667,Vasavi Satram
603,Shujalpur,IN,84.94,scattered clouds,23.4,76.7167,Krishna Sweets
605,Muisne,EC,78.35,overcast clouds,0.6,-80.0333,Quinta Samay
607,Mandal,IN,86.36,overcast clouds,25.45,74.5667,टी star
608,Warri,NG,83.71,light rain,5.5167,5.75,BON Hotel Delta
610,Aksu,CN,85.12,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
612,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
614,Tabuk,PH,76.17,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
615,Avallon,FR,77.31,few clouds,47.4833,3.9,Hotel d'Avallon Vauban
624,Kipini,KE,80.89,broken clouds,-2.5257,40.5262,Delta Sea Mall
628,Sao Jose Da Coroa Grande,BR,81.16,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
631,Man,CI,80.96,overcast clouds,7.4125,-7.5538,Sodetherm Hotel les Cascades Ma
